id,field_name,temporary
1,運転者の心得,TRUE
2,信号に従うこと,TRUE
3,標識・標示などに従うこと,TRUE
4,車の通行する所、してはいけない所,TRUE
5,緊急自動車などの優先,TRUE
6,交差点などの通行、踏切,TRUE
7,安全な速度と車間距離,TRUE
8,歩行者の保護など,TRUE
9,安全の確認と合図、警音器の使用,TRUE
10,進路変更など,TRUE
11,追い越し,TRUE
12,行き違い,TRUE
13,運転免許制度、交通反則通告制度,TRUE
14,オートマチック車の運転,TRUE
15,みんなが間違いやすい問題１,TRUE
16,みんなが間違いやすい問題２,TRUE
17,仮免学科問題１,TRUE
18,仮免学科問題２,TRUE
19,仮免学科問題３,TRUE
20,死角と運転,FALSE
21,適性検査結果に基づく行動分析,FALSE
22,人間の能力と運転,FALSE
23,車に働く自然の力と運転,FALSE
24,悪条件化での運転,FALSE
25,特徴的な事故と事故の悲惨さ,FALSE
26,自動車の保守管理,FALSE
27,駐車と停車,FALSE
28,乗車と積載,FALSE
29,けん引,FALSE
30,交通事故のとき,FALSE
31,自動車の所有者の心得と保険制度,FALSE
32,経路の設計,FALSE
33,高速道路での運転,FALSE
34,二人乗り運転に関する知識,FALSE
35,卒業前効果測定１,FALSE
36,卒業前効果測定２,FALSE
